Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2021,Dallas,IA,Passenger,0,1,1,10,11,9.09
April 30 2024,Williamsburg,VA,Passenger,0,1,1,2,3,33.33
December 31 2023,Island,WA,Passenger,1299,476,1775,60707,62482,2.84
September 30 2020,Montgomery,TX,Passenger,1,0,1,53,54,1.85
February 28 2019,Clay,FL,Passenger,0,1,1,87,88,1.14
October 31 2019,Tulsa,OK,Passenger,1,0,1,61,62,1.61
September 30 2024,Falls Church,VA,Passenger,1,0,1,6,7,14.29
May 31 2018,Nantucket,MA,Passenger,1,0,1,4,5,20
February 28 2025,Charlottesville,VA,Passenger,0,1,1,5,6,16.67
March 31 2020,Walla Walla,WA,Passenger,68,63,131,36209,36340,0.36
September 30 2018,El Paso,CO,Passenger,3,2,5,780,785,0.64
September 30 2020,Hamilton,IN,Passenger,1,0,1,42,43,2.33
June 30 2024,Suffolk,VA,Passenger,1,1,2,93,95,2.11
June 30 2020,Wahkiakum,WA,Truck,0,0,0,1736,1736,0
January 31 2025,Hoke,NC,Passenger,1,0,1,55,56,1.79
June 30 2022,Montgomery,AL,Passenger,2,1,3,36,39,7.69
January 31 2025,Tooele,UT,Passenger,1,0,1,7,8,12.5
February 28 2023,Rockingham,NH,Passenger,1,0,1,19,20,5
March 31 2021,Carroll,MD,Passenger,0,1,1,17,18,5.56
September 30 2022,Randolph,NC,Passenger,1,0,1,4,5,20
April 30 2021,Island,WA,Truck,0,0,0,21488,21488,0
March 31 2021,Ferry,WA,Truck,0,0,0,3625,3625,0
September 30 2023,Kittitas,WA,Passenger,398,111,509,29301,29810,1.71
July 31 2023,Lincoln,WA,Passenger,19,20,39,7616,7655,0.51
December 31 2021,Monterey,CA,Passenger,1,3,4,158,162,2.47
June 30 2019,Portsmouth,VA,Passenger,0,1,1,74,75,1.33
July 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10
June 30 2024,Laramie,WY,Passenger,1,1,2,28,30,6.67
May 31 2024,Lewis,WA,Truck,15,0,15,25670,25685,0.06
July 31 2023,Yakima,WA,Truck,13,0,13,60993,61006,0.02
September 30 2018,Klickitat,WA,Passenger,24,31,55,15356,15411,0.36
June 30 2022,Cumberland,NC,Passenger,1,4,5,389,394,1.27
April 30 2023,Arlington,VA,Passenger,3,0,3,127,130,2.31
October 31 2017,Pima,AZ,Passenger,1,1,2,444,446,0.45
October 31 2024,San Bernardino,CA,Passenger,4,1,5,265,270,1.85
November 30 2024,Monterey,CA,Truck,1,0,1,25,26,3.85
August 31 2020,San Juan,WA,Passenger,320,101,421,13914,14335,2.94
November 30 2020,Okanogan,WA,Passenger,50,36,86,25968,26054,0.33
March 31 2022,Mason,WA,Passenger,283,163,446,47565,48011,0.93
December 31 2022,Chatham,NC,Passenger,1,0,1,6,7,14.29
November 30 2021,Kings,NY,Passenger,2,0,2,74,76,2.63
July 31 2021,Kings,CA,Passenger,1,0,1,319,320,0.31
October 31 2022,Palm Beach,FL,Passenger,1,1,2,59,61,3.28
December 31 2021,Collin,TX,Passenger,4,0,4,121,125,3.2
May 31 2024,Marion,OR,Passenger,1,0,1,57,58,1.72
October 31 2019,Okanogan,WA,Passenger,24,27,51,26242,26293,0.19
June 30 2018,Washington,OR,Passenger,0,1,1,498,499,0.2
September 30 2024,Washoe,NV,Passenger,3,0,3,40,43,6.98
April 30 2024,Leavenworth,KS,Passenger,3,2,5,70,75,6.67
April 30 2023,Miami-Dade,FL,Passenger,1,0,1,80,81,1.23
March 31 2021,Hennepin,MN,Passenger,2,0,2,91,93,2.15
December 31 2019,Lake,FL,Passenger,1,0,1,25,26,3.85
February 28 2021,Monroe,IL,Passenger,1,0,1,2,3,33.33
August 31 2019,Snohomish,WA,Truck,0,0,0,122827,122827,0
August 31 2017,Chelan,WA,Truck,0,0,0,21359,21359,0
January 31 2023,Douglas,WA,Passenger,170,57,227,28567,28794,0.79
September 30 2024,Beaufort,SC,Passenger,1,0,1,26,27,3.7
August 31 2021,Onslow,NC,Passenger,0,1,1,171,172,0.58
February 28 2023,Wise,TX,Passenger,2,0,2,10,12,16.67
May 31 2019,Montgomery,TX,Passenger,2,0,2,64,66,3.03
February 28 2017,Essex,MA,Passenger,1,0,1,29,30,3.33
April 30 2024,Forsyth,GA,Passenger,1,0,1,9,10,10
September 30 2019,Island,WA,Truck,0,0,0,21267,21267,0
April 30 2022,Whatcom,WA,Truck,4,0,4,43406,43410,0.01
February 29 2024,Ferry,WA,Passenger,27,4,31,4281,4312,0.72
January 31 2025,San Bernardino,CA,Passenger,3,0,3,262,265,1.13
January 31 2023,Burlington,NJ,Passenger,0,2,2,93,95,2.11
September 30 2021,San Mateo,CA,Passenger,2,0,2,109,111,1.8
February 28 2025,Fresno,CA,Passenger,0,1,1,103,104,0.96
January 31 2021,Vigo,IN,Passenger,1,0,1,6,7,14.29
January 31 2020,Wise,TX,Passenger,1,0,1,9,10,10
November 30 2017,Spokane,WA,Passenger,291,236,527,299528,300055,0.18
November 30 2022,Jefferson,WA,Passenger,476,231,707,24335,25042,2.82
June 30 2024,Liberty,GA,Passenger,0,1,1,91,92,1.09
December 31 2017,St. Clair,IL,Passenger,0,1,1,166,167,0.6
June 30 2023,Harnett,NC,Passenger,4,1,5,155,160,3.12
August 31 2022,Denton,TX,Passenger,2,0,2,76,78,2.56
June 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100
June 30 2017,Thurston,WA,Truck,0,0,0,53257,53257,0
March 31 2019,Adams,WA,Passenger,4,6,10,12623,12633,0.08
May 31 2017,Ventura,CA,Passenger,0,1,1,376,377,0.27
September 30 2023,Sacramento,CA,Passenger,3,1,4,174,178,2.25
March 31 2020,Monroe,IL,Passenger,1,0,1,3,4,25
April 30 2023,Collier,FL,Passenger,1,0,1,16,17,5.88
July 31 2018,Lincoln,WA,Passenger,3,7,10,7743,7753,0.13
March 31 2019,Chelan,WA,Truck,0,0,0,22116,22116,0
May 31 2017,Cobb,GA,Passenger,0,1,1,80,81,1.23
November 30 2020,Gwinnett,GA,Passenger,1,0,1,73,74,1.35
June 30 2020,Prince George's,MD,Passenger,1,1,2,173,175,1.14
January 31 2021,Douglas,NE,Passenger,1,1,2,59,61,3.28
May 31 2021,Boulder,CO,Passenger,1,1,2,55,57,3.51
July 31 2024,Atlantic,NJ,Passenger,1,0,1,7,8,12.5
July 31 2024,Larimer,CO,Passenger,1,0,1,26,27,3.7
December 31 2023,Lake,IN,Passenger,0,1,1,7,8,12.5
January 31 2019,Walla Walla,WA,Passenger,42,53,95,36118,36213,0.26
November 30 2020,Pacific,WA,Passenger,36,34,70,15714,15784,0.44
May 31 2022,Kitsap,WA,Passenger,2349,1025,3374,177969,181343,1.86
May 31 2024,Jefferson,WA,Truck,22,0,22,9162,9184,0.24
January 31 2017,Clark,WA,Truck,0,0,0,77498,77498,0
March 31 2019,Shasta,CA,Passenger,1,0,1,41,42,2.38
June 30 2021,Montgomery,OH,Passenger,0,1,1,58,59,1.69
August 31 2024,Essex,NJ,Passenger,1,1,2,7,9,22.22
May 31 2024,Garfield,WA,Passenger,0,3,3,1307,1310,0.23
May 31 2017,Santa Fe,NM,Passenger,0,1,1,48,49,2.04
May 31 2023,Wise,TX,Passenger,2,0,2,10,12,16.67
September 30 2022,Gwinnett,GA,Passenger,1,0,1,65,66,1.52
June 30 2021,Yakima,WA,Passenger,226,155,381,169211,169592,0.22
February 28 2025,Yakima,WA,Passenger,1046,410,1456,162026,163482,0.89
August 31 2021,Los Angeles,CA,Passenger,9,8,17,940,957,1.78
August 31 2022,St. Mary's,MD,Passenger,1,0,1,208,209,0.48
June 30 2024,Columbia,WA,Passenger,9,0,9,2402,2411,0.37
April 30 2021,Walla Walla,WA,Truck,0,0,0,14034,14034,0
July 31 2021,Skamania,WA,Truck,0,0,0,4027,4027,0
September 30 2023,Stafford,VA,Passenger,2,0,2,77,79,2.53
August 31 2023,Pulaski,AR,Passenger,2,0,2,27,29,6.9
February 28 2022,Pima,AZ,Passenger,1,1,2,302,304,0.66
April 30 2024,Medina,TX,Passenger,1,0,1,5,6,16.67
September 30 2019,Virginia Beach,VA,Passenger,1,0,1,702,703,0.14
October 31 2022,Ulster,NY,Passenger,1,0,1,12,13,7.69
October 31 2023,Sedgwick,KS,Passenger,0,1,1,61,62,1.61
December 31 2017,Santa Fe,NM,Passenger,0,1,1,45,46,2.17
January 31 2024,Kitsap,WA,Truck,114,0,114,51661,51775,0.22
December 31 2021,Klickitat,WA,Passenger,89,54,143,15318,15461,0.92
April 30 2020,Greene,MO,Passenger,0,1,1,37,38,2.63
April 30 2023,Shasta,CA,Passenger,1,0,1,29,30,3.33
December 31 2018,Clay,FL,Passenger,0,1,1,90,91,1.1
February 28 2025,Snohomish,WA,Passenger,23206,4634,27840,507702,535542,5.2
October 31 2022,Honolulu,HI,Passenger,5,3,8,406,414,1.93
February 28 2021,Clallam,WA,Truck,1,0,1,21889,21890,0
May 31 2024,Middlesex,NJ,Passenger,1,0,1,20,21,4.76
November 30 2020,Chesapeake,VA,Passenger,0,2,2,424,426,0.47
May 31 2024,Ada,ID,Passenger,2,0,2,115,117,1.71
April 30 2024,Prince George,VA,Passenger,2,0,2,49,51,3.92
December 31 2024,Rockingham,NH,Passenger,1,0,1,14,15,6.67
October 31 2019,Nassau,NY,Passenger,4,0,4,43,47,8.51
April 30 2023,Fairfax,VA,Truck,1,0,1,88,89,1.12
September 30 2020,Utah,UT,Passenger,0,1,1,147,148,0.68
December 31 2021,Maui,HI,Passenger,1,0,1,27,28,3.57
October 31 2023,San Mateo,CA,Passenger,4,0,4,72,76,5.26
April 30 2019,El Paso,CO,Passenger,3,3,6,763,769,0.78
October 31 2020,Columbia,WA,Passenger,4,3,7,2438,2445,0.29
April 30 2021,Fairfax,VA,Passenger,5,3,8,722,730,1.1
February 28 2018,Norfolk,VA,Passenger,1,1,2,315,317,0.63
June 30 2023,Lincoln,OR,Passenger,1,1,2,23,25,8
January 31 2019,Nantucket,MA,Passenger,1,0,1,4,5,20
October 31 2024,Franklin,WA,Passenger,550,203,753,62516,63269,1.19
September 30 2021,Bexar,TX,Passenger,2,4,6,557,563,1.07
May 31 2024,Miami-Dade,FL,Passenger,2,0,2,62,64,3.12
December 31 2018,Suffolk,MA,Passenger,0,1,1,42,43,2.33
May 31 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
July 31 2017,Grant,WA,Passenger,19,29,48,60999,61047,0.08
November 30 2022,Ferry,WA,Passenger,24,4,28,4356,4384,0.64
April 30 2018,Maricopa,AZ,Passenger,1,2,3,1686,1689,0.18
December 31 2021,Sarpy,NE,Passenger,1,0,1,74,75,1.33
May 31 2021,Milwaukee,WI,Passenger,1,0,1,48,49,2.04
December 31 2019,Anne Arundel,MD,Passenger,1,1,2,425,427,0.47
January 31 2025,Spokane,WA,Truck,205,0,205,99325,99530,0.21
December 31 2024,Franklin,WA,Truck,24,0,24,20690,20714,0.12
July 31 2020,Whitman,WA,Passenger,45,49,94,22102,22196,0.42
July 31 2024,Asotin,WA,Passenger,52,28,80,12266,12346,0.65
November 30 2023,Newport,RI,Truck,1,0,1,5,6,16.67
October 31 2020,Collin,TX,Passenger,2,1,3,135,138,2.17
February 29 2020,Monterey,CA,Passenger,1,1,2,192,194,1.03
April 30 2024,Okaloosa,FL,Passenger,0,2,2,83,85,2.35
January 31 2023,Pierce,WA,Truck,97,0,97,138804,138901,0.07
March 31 2022,King,WA,Truck,25,1,26,181808,181834,0.01
December 31 2019,Kitsap,WA,Truck,1,0,1,54412,54413,0
April 30 2023,Thurston,WA,Passenger,2904,1182,4086,189868,193954,2.11
May 31 2023,Hennepin,MN,Passenger,1,0,1,52,53,1.89
April 30 2020,Douglas,WA,Passenger,69,40,109,28010,28119,0.39
January 31 2018,Montgomery,TN,Passenger,1,0,1,277,278,0.36
September 30 2020,Whitman,WA,Truck,0,0,0,8495,8495,0
February 29 2024,Monterey,CA,Passenger,1,5,6,124,130,4.62
March 31 2018,Brevard,FL,Passenger,0,1,1,107,108,0.93
October 31 2017,Canyon,ID,Passenger,0,1,1,101,102,0.98
April 30 2024,DuPage,IL,Passenger,3,1,4,30,34,11.76
October 31 2018,Collier,FL,Passenger,1,0,1,23,24,4.17
February 28 2022,Louisa,VA,Passenger,0,1,1,1,2,50
October 31 2019,Asotin,WA,Passenger,12,8,20,12636,12656,0.16
December 31 2022,Wahkiakum,WA,Passenger,26,13,39,3030,3069,1.27
August 31 2023,Wahkiakum,WA,Passenger,26,18,44,3027,3071,1.43
March 31 2022,Columbia,WA,Passenger,6,0,6,2444,2450,0.24
August 31 2017,Sacramento,CA,Passenger,1,1,2,353,355,0.56
July 31 2020,Hamilton,IN,Passenger,1,0,1,44,45,2.22
April 30 2018,Riverside,CA,Passenger,2,2,4,729,733,0.55
August 31 2018,Prince George's,MD,Passenger,1,1,2,187,189,1.06
June 30 2018,Nantucket,MA,Passenger,1,0,1,4,5,20
April 30 2024,Essex,MA,Passenger,2,0,2,12,14,14.29
November 30 2020,Clallam,WA,Passenger,262,173,435,49836,50271,0.87
January 31 2023,Hamilton,OH,Passenger,1,0,1,39,40,2.5
October 31 2021,Island,WA,Truck,0,0,0,21484,21484,0
October 31 2024,Pend Oreille,WA,Truck,4,0,4,5505,5509,0.07
November 30 2017,Monterey,CA,Passenger,0,2,2,202,204,0.98
October 31 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20
March 31 2022,Jefferson,IL,Passenger,1,0,1,1,2,50
November 30 2020,Chelan,WA,Truck,0,0,0,22756,22756,0
July 31 2018,San Juan,WA,Passenger,149,62,211,14107,14318,1.47
March 31 2017,Okanogan,WA,Passenger,3,16,19,25636,25655,0.07
August 31 2017,Canyon,ID,Passenger,0,1,1,105,106,0.94
April 30 2019,Saratoga,NY,Passenger,1,0,1,57,58,1.72
May 31 2024,Prince William,VA,Passenger,1,4,5,135,140,3.57
July 31 2019,Bucks,PA,Passenger,1,0,1,25,26,3.85
February 29 2020,Cascade,MT,Passenger,0,1,1,64,65,1.54
February 28 2019,Nueces,TX,Passenger,1,1,2,93,95,2.11
April 30 2024,Charleston,SC,Passenger,0,2,2,55,57,3.51
November 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20
June 30 2021,Kitsap,WA,Truck,0,0,0,54386,54386,0
August 31 2020,El Paso,CO,Passenger,3,1,4,720,724,0.55
August 31 2023,Los Angeles,CA,Passenger,6,3,9,705,714,1.26
December 31 2021,Salt Lake,UT,Passenger,2,1,3,190,193,1.55
August 31 2021,Polk,FL,Passenger,1,0,1,77,78,1.28
January 31 2020,Clay,FL,Passenger,0,1,1,93,94,1.06
March 31 2020,Bucks,PA,Passenger,1,0,1,25,26,3.85
November 30 2021,Mohave,AZ,Passenger,1,0,1,63,64,1.56
May 31 2021,Allen,IN,Passenger,1,0,1,20,21,4.76
November 30 2024,Northampton,PA,Passenger,1,0,1,11,12,8.33
March 31 2018,Whatcom,WA,Passenger,574,260,834,146052,146886,0.57
October 31 2022,Hamilton,OH,Truck,1,0,1,3,4,25
October 31 2022,Salt Lake,UT,Passenger,2,1,3,155,158,1.9
April 30 2020,Ventura,CA,Passenger,0,2,2,310,312,0.64
September 30 2021,Chelan,WA,Truck,0,0,0,23082,23082,0
October 31 2022,Monterey,CA,Passenger,1,3,4,142,146,2.74
April 30 2021,Sarasota,FL,Passenger,2,0,2,41,43,4.65
August 31 2024,Virginia Beach,VA,Passenger,4,3,7,402,409,1.71
December 31 2023,Johnson,MO,Passenger,1,0,1,21,22,4.55
August 31 2021,Fulton,GA,Passenger,0,1,1,90,91,1.1
March 31 2021,Queens,NY,Passenger,2,0,2,55,57,3.51
June 30 2024,Whitman,WA,Truck,11,0,11,8604,8615,0.13
November 30 2020,Williamson,TX,Passenger,0,2,2,151,153,1.31
July 31 2017,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
August 31 2018,DeKalb,GA,Passenger,1,0,1,82,83,1.2
January 31 2022,Garfield,WA,Truck,0,0,0,994,994,0
July 31 2021,Botetourt,VA,Passenger,1,0,1,0,1,100
January 31 2021,Island,WA,Passenger,526,292,818,62760,63578,1.29
January 31 2018,Stevens,WA,Truck,0,0,0,18377,18377,0
February 29 2024,Tompkins,NY,Passenger,1,0,1,11,12,8.33
June 30 2023,Suffolk,MA,Passenger,3,1,4,29,33,12.12
June 30 2021,Clark,WA,Passenger,2843,1419,4262,322205,326467,1.31
April 30 2018,Kitsap,WA,Passenger,742,433,1175,177319,178494,0.66
July 31 2020,San Juan,WA,Truck,0,0,0,5842,5842,0
May 31 2019,Williamson,TX,Passenger,0,1,1,160,161,0.62
March 31 2023,Norfolk,MA,Passenger,1,0,1,24,25,4
May 31 2024,Spotsylvania,VA,Passenger,1,1,2,24,26,7.69
November 30 2024,Montgomery,MD,Passenger,7,1,8,168,176,4.55
December 31 2018,Rogers,OK,Passenger,1,0,1,7,8,12.5
January 31 2025,San Juan,WA,Passenger,805,249,1054,13216,14270,7.39
December 31 2022,Alameda,CA,Passenger,8,2,10,209,219,4.57
January 31 2019,Douglas,WA,Truck,0,0,0,12169,12169,0
January 31 2025,Asotin,WA,Truck,4,0,4,6501,6505,0.06
September 30 2024,Pend Oreille,WA,Truck,3,0,3,5534,5537,0.05
September 30 2017,Northampton,PA,Passenger,0,1,1,80,81,1.23
June 30 2021,Carroll,NH,Passenger,0,1,1,3,4,25
February 28 2023,Adams,WA,Passenger,21,11,32,12990,13022,0.25
August 31 2024,Cuyahoga,OH,Passenger,1,0,1,40,41,2.44
June 30 2020,Douglas,NE,Passenger,0,1,1,59,60,1.67
June 30 2024,Greene,OH,Passenger,1,0,1,17,18,5.56
June 30 2022,Jefferson,IL,Passenger,1,0,1,1,2,50
June 30 2020,Calvert,MD,Passenger,0,2,2,92,94,2.13
March 31 2019,Grant,WA,Truck,0,0,0,26327,26327,0
December 31 2019,Stevens,WA,Truck,0,0,0,18750,18750,0
October 31 2020,Charleston,SC,Passenger,2,0,2,97,99,2.02
September 30 2018,Queens,NY,Passenger,1,0,1,64,65,1.54
February 28 2023,Walla Walla,WA,Passenger,206,107,313,35609,35922,0.87
September 30 2024,Charles,MD,Passenger,1,1,2,50,52,3.85
April 30 2020,Arlington,VA,Passenger,0,2,2,159,161,1.24
July 31 2023,Tarrant,TX,Passenger,2,0,2,105,107,1.87
August 31 2024,Macomb,MI,Passenger,4,0,4,21,25,16
October 31 2024,St. Charles,MO,Passenger,1,0,1,24,25,4
June 30 2017,King,WA,Passenger,10023,4078,14101,1374694,1388795,1.02
December 31 2017,Island,WA,Truck,0,0,0,20736,20736,0
November 30 2024,Mason,WA,Passenger,720,289,1009,45706,46715,2.16
June 30 2023,Walla Walla,WA,Truck,5,0,5,13685,13690,0.04
September 30 2022,Clackamas,OR,Passenger,1,1,2,164,166,1.2
January 31 2025,Hennepin,MN,Passenger,1,0,1,28,29,3.45
February 28 2023,King,WA,Passenger,50889,12760,63649,1326723,1390372,4.58
January 31 2025,Chelan,WA,Passenger,1009,291,1300,53097,54397,2.39
January 31 2019,Santa Clara,CA,Passenger,8,1,9,392,401,2.24
December 31 2018,Lewis,WA,Truck,0,0,0,25632,25632,0
March 31 2019,Richland,SC,Passenger,0,1,1,162,163,0.61
April 30 2020,Collier,FL,Passenger,1,0,1,23,24,4.17
February 28 2023,Norfolk,MA,Passenger,1,0,1,24,25,4
January 31 2022,Allen,IN,Passenger,1,0,1,19,20,5
July 31 2022,Howard,IN,Passenger,0,1,1,4,5,20
March 31 2021,Wahkiakum,WA,Passenger,9,7,16,3081,3097,0.52
March 31 2017,Cumberland,NC,Passenger,2,0,2,629,631,0.32
January 31 2021,Fairfax,VA,Passenger,5,2,7,717,724,0.97
October 31 2017,Howard,MD,Passenger,0,2,2,89,91,2.2
May 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25
June 30 2019,Nassau,NY,Passenger,4,0,4,42,46,8.7
May 31 2018,Franklin,WA,Truck,0,0,0,18634,18634,0
September 30 2019,New Haven,CT,Passenger,0,2,2,46,48,4.17
January 31 2022,Chatham,NC,Passenger,1,0,1,6,7,14.29
September 30 2021,Wilson,TX,Passenger,0,1,1,3,4,25
February 28 2025,Cuyahoga,OH,Passenger,1,0,1,29,30,3.33
October 31 2020,Dallas,TX,Passenger,1,0,1,196,197,0.51
November 30 2023,Sacramento,CA,Passenger,3,1,4,172,176,2.27
November 30 2019,Skagit,WA,Passenger,349,209,558,92532,93090,0.6
September 30 2024,Kittitas,WA,Passenger,594,149,743,29327,30070,2.47
June 30 2024,San Bernardino,CA,Passenger,4,1,5,289,294,1.7
June 30 2024,Bell,TX,Passenger,2,0,2,216,218,0.92
March 31 2024,Bexar,TX,Passenger,2,4,6,371,377,1.59
January 31 2024,Escambia,FL,Passenger,0,1,1,127,128,0.78
June 30 2021,Nueces,TX,Passenger,1,0,1,83,84,1.19
June 30 2023,Fairbanks North Star,AK,Passenger,0,1,1,63,64,1.56
April 30 2023,Dallas,TX,Truck,1,0,1,10,11,9.09
March 31 2021,Maricopa,AZ,Passenger,7,7,14,1470,1484,0.94
January 31 2018,Stevens,WA,Passenger,10,22,32,31590,31622,0.1
September 30 2024,Jefferson,WA,Truck,28,0,28,9084,9112,0.31
April 30 2020,Deschutes,OR,Passenger,4,0,4,157,161,2.48
October 31 2019,San Juan,WA,Truck,0,0,0,5922,5922,0
February 28 2022,Juneau,AK,Passenger,0,1,1,35,36,2.78
November 30 2021,Pierce,WA,Passenger,4124,2100,6224,556103,562327,1.11
December 31 2024,Douglas,WA,Passenger,364,109,473,28911,29384,1.61
July 31 2021,Cowlitz,WA,Truck,0,0,0,29097,29097,0
September 30 2022,Garfield,WA,Truck,0,0,0,966,966,0
May 31 2018,Allegheny,PA,Passenger,1,0,1,83,84,1.19
July 31 2020,Maui,HI,Passenger,2,0,2,34,36,5.56
August 31 2020,Ventura,CA,Passenger,1,1,2,303,305,0.66
December 31 2019,Loudoun,VA,Passenger,1,0,1,95,96,1.04
July 31 2021,Okaloosa,FL,Passenger,0,1,1,125,126,0.79
December 31 2024,Orange,CA,Passenger,5,1,6,263,269,2.23
December 31 2019,Santa Rosa,FL,Passenger,1,0,1,91,92,1.09
February 28 2023,Fairbanks North Star,AK,Passenger,0,1,1,71,72,1.39
June 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
August 31 2021,Cowlitz,WA,Passenger,237,152,389,72068,72457,0.54
December 31 2022,Walla Walla,WA,Passenger,201,105,306,35619,35925,0.85
January 31 2020,Pend Oreille,WA,Passenger,8,7,15,9462,9477,0.16
February 28 2022,Leavenworth,KS,Passenger,1,2,3,96,99,3.03
November 30 2021,Suffolk,VA,Passenger,1,0,1,129,130,0.77
July 31 2021,Carroll,MD,Passenger,0,1,1,19,20,5
October 31 2022,Bristol,MA,Passenger,1,0,1,11,12,8.33
September 30 2024,Kittitas,WA,Truck,38,0,38,14609,14647,0.26
September 30 2019,Spokane,WA,Truck,1,0,1,95716,95717,0
July 31 2021,Mason,WA,Truck,0,0,0,21316,21316,0
June 30 2017,Lewis,WA,Truck,0,0,0,24848,24848,0
May 31 2020,Travis,TX,Passenger,3,2,5,201,206,2.43
September 30 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
October 31 2023,Yolo,CA,Passenger,2,0,2,22,24,8.33
July 31 2024,Frederick,MD,Passenger,1,1,2,46,48,4.17
October 31 2021,Boone,MO,Passenger,0,1,1,11,12,8.33
April 30 2021,Spokane,WA,Passenger,1001,606,1607,324445,326052,0.49
May 31 2021,Collin,TX,Passenger,2,1,3,131,134,2.24
April 30 2023,Burlington,NJ,Passenger,2,2,4,93,97,4.12
November 30 2018,Cochise,AZ,Passenger,0,1,1,115,116,0.86
January 31 2024,Okaloosa,FL,Passenger,0,2,2,86,88,2.27
April 30 2018,Hamilton,IN,Passenger,1,0,1,47,48,2.08
June 30 2023,Mohave,AZ,Passenger,1,0,1,43,44,2.27
July 31 2020,Bucks,PA,Passenger,1,0,1,25,26,3.85
December 31 2023,Larimer,CO,Passenger,1,0,1,31,32,3.12
April 30 2020,Owyhee,ID,Passenger,1,0,1,3,4,25
January 31 2018,Pierce,WA,Truck,0,0,0,137093,137093,0
November 30 2018,Walla Walla,WA,Truck,0,0,0,13515,13515,0
March 31 2017,Marion,OR,Passenger,1,0,1,200,201,0.5
April 30 2023,Duval,FL,Passenger,2,1,3,283,286,1.05
February 28 2017,Fulton,GA,Passenger,1,1,2,128,130,1.54
November 30 2022,Bristol,MA,Passenger,1,0,1,10,11,9.09
August 31 2022,Medina,TX,Passenger,1,0,1,8,9,11.11
April 30 2024,Albemarle,VA,Passenger,3,0,3,20,23,13.04
October 31 2021,Owyhee,ID,Passenger,1,0,1,2,3,33.33
April 30 2022,Yakima,WA,Passenger,318,183,501,167227,167728,0.3
September 30 2019,Ferry,WA,Passenger,5,2,7,4427,4434,0.16
June 30 2019,Asotin,WA,Truck,0,0,0,6667,6667,0
February 28 2023,Palm Beach,FL,Passenger,2,1,3,56,59,5.08
April 30 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
July 31 2021,Grant,WA,Passenger,120,89,209,66856,67065,0.31
July 31 2020,Alameda,CA,Passenger,2,0,2,285,287,0.7
October 31 2019,Pima,AZ,Passenger,2,1,3,418,421,0.71
November 30 2020,Newport,RI,Passenger,0,1,1,81,82,1.22
January 31 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
June 30 2021,Ferry,WA,Truck,0,0,0,3641,3641,0
March 31 2024,Shelby,AL,Passenger,1,0,1,3,4,25
April 30 2021,Hampshire,MA,Passenger,1,0,1,10,11,9.09
May 31 2022,Lane,OR,Passenger,0,2,2,115,117,1.71
May 31 2020,Nueces,TX,Passenger,1,0,1,86,87,1.15
October 31 2021,Wake,NC,Passenger,1,0,1,138,139,0.72
June 30 2023,Kittitas,WA,Truck,8,0,8,14587,14595,0.05
December 31 2023,Grays Harbor,WA,Truck,14,0,14,20817,20831,0.07
April 30 2021,Lewis,WA,Passenger,146,137,283,59735,60018,0.47
October 31 2018,Kittitas,WA,Passenger,58,35,93,29268,29361,0.32
July 31 2018,Orange,CA,Passenger,5,1,6,583,589,1.02
October 31 2023,Harford,MD,Passenger,1,1,2,43,45,4.44
February 28 2025,Sacramento,CA,Passenger,1,0,1,119,120,0.83
May 31 2024,Santa Clara,CA,Passenger,17,5,22,181,203,10.84
June 30 2021,Chatham,NC,Passenger,1,0,1,6,7,14.29
January 31 2023,Penobscot,ME,Passenger,0,1,1,8,9,11.11
February 28 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
January 31 2023,Adams,CO,Passenger,1,0,1,41,42,2.38
June 30 2023,Sarpy,NE,Passenger,1,0,1,65,66,1.52
March 31 2019,Pueblo,CO,Passenger,1,0,1,35,36,2.78
December 31 2023,Bartow,GA,Passenger,0,1,1,3,4,25
November 30 2018,Santa Cruz,CA,Passenger,1,0,1,42,43,2.33
April 30 2020,Spartanburg,SC,Passenger,0,1,1,54,55,1.82
November 30 2021,Harford,MD,Passenger,1,1,2,58,60,3.33
October 31 2024,Yolo,CA,Passenger,2,0,2,23,25,8
April 30 2017,Albemarle,VA,Passenger,0,1,1,31,32,3.12
August 31 2021,Mercer,NJ,Passenger,0,1,1,10,11,9.09
February 28 2019,Nassau,NY,Passenger,3,0,3,39,42,7.14
January 31 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5
April 30 2022,Sacramento,CA,Passenger,1,1,2,245,247,0.81
March 31 2022,Sumter,SC,Passenger,0,1,1,29,30,3.33
October 31 2024,Richmond,VA,Passenger,1,0,1,6,7,14.29
